Thresh,TrueCells,FalseCellsRatio,Size,ShapeDiff
0,0,100,10.3076923076923,3.07692307692308
1,6,53.8461538461538,13.1428571428571,4.28571428571429
2,6,53.8461538461538,13.1428571428571,4.28571428571429
3,6,53.8461538461538,13.1428571428571,4.28571428571429
4,6,53.8461538461538,13.1428571428571,4.28571428571429
5,6,53.8461538461538,13.1428571428571,4.28571428571429
6,6,53.8461538461538,13.1428571428571,4.28571428571429
7,6,53.8461538461538,13.1428571428571,4.28571428571429
8,6,53.8461538461538,13.1428571428571,4.28571428571429
9,6,53.8461538461538,13.1428571428571,4.28571428571429
10,6,53.8461538461538,13.1428571428571,4.28571428571429
11,6,53.8461538461538,13.1428571428571,4.28571428571429
12,11,15.3846153846154,7.5,3
13,11,15.3846153846154,7.5,3
14,11,15.3846153846154,7.5,3
15,11,15.3846153846154,7.5,3
16,11,15.3846153846154,7.5,3
17,11,15.3846153846154,7.5,3
18,11,15.3846153846154,7.5,3
19,11,15.3846153846154,7.5,3
